construct,construct_id,category,citation,item_no,item_text,reverse_scored,status,verified_ok (RA: yes/no),correction_if_wrong,notes
Kessler Psychological Distress Scale (K10),k10,Psychological distress,"Kessler, R. C., Andrews, G., Colpe, L. J., Hiripi, E., Mroczek, D. K., Normand, S.-L. T., Walters, E. E., & Zaslavsky, A. M. (2002). Short screening scales to monitor population prevalences and trends in non-specific psychological distress. Psychological Medicine, 32(6), 959–976. https://doi.org/10.1017/S0033291702006074",4,hopeless?,False,needs_verification,,,
Kessler Psychological Distress Scale (K10),k10,Psychological distress,"Kessler, R. C., Andrews, G., Colpe, L. J., Hiripi, E., Mroczek, D. K., Normand, S.-L. T., Walters, E. E., & Zaslavsky, A. M. (2002). Short screening scales to monitor population prevalences and trends in non-specific psychological distress. Psychological Medicine, 32(6), 959–976. https://doi.org/10.1017/S0033291702006074",5,restless or fidgety?,False,needs_verification,,,
Kessler Psychological Distress Scale (K10),k10,Psychological distress,"Kessler, R. C., Andrews, G., Colpe, L. J., Hiripi, E., Mroczek, D. K., Normand, S.-L. T., Walters, E. E., & Zaslavsky, A. M. (2002). Short screening scales to monitor population prevalences and trends in non-specific psychological distress. Psychological Medicine, 32(6), 959–976. https://doi.org/10.1017/S0033291702006074",6,so restless you could not sit still?,False,needs_verification,,,
Kessler Psychological Distress Scale (K10),k10,Psychological distress,"Kessler, R. C., Andrews, G., Colpe, L. J., Hiripi, E., Mroczek, D. K., Normand, S.-L. T., Walters, E. E., & Zaslavsky, A. M. (2002). Short screening scales to monitor population prevalences and trends in non-specific psychological distress. Psychological Medicine, 32(6), 959–976. https://doi.org/10.1017/S0033291702006074",7,depressed?,False,needs_verification,,,
Kessler Psychological Distress Scale (K10),k10,Psychological distress,"Kessler, R. C., Andrews, G., Colpe, L. J., Hiripi, E., Mroczek, D. K., Normand, S.-L. T., Walters, E. E., & Zaslavsky, A. M. (2002). Short screening scales to monitor population prevalences and trends in non-specific psychological distress. Psychological Medicine, 32(6), 959–976. https://doi.org/10.1017/S0033291702006074",8,that everything was an effort?,False,needs_verification,,,
Kessler Psychological Distress Scale (K10),k10,Psychological distress,"Kessler, R. C., Andrews, G., Colpe, L. J., Hiripi, E., Mroczek, D. K., Normand, S.-L. T., Walters, E. E., & Zaslavsky, A. M. (2002). Short screening scales to monitor population prevalences and trends in non-specific psychological distress. Psychological Medicine, 32(6), 959–976. https://doi.org/10.1017/S0033291702006074",9,so sad that nothing could cheer you up?,False,needs_verification,,,
Kessler Psychological Distress Scale (K10),k10,Psychological distress,"Kessler, R. C., Andrews, G., Colpe, L. J., Hiripi, E., Mroczek, D. K., Normand, S.-L. T., Walters, E. E., & Zaslavsky, A. M. (2002). Short screening scales to monitor population prevalences and trends in non-specific psychological distress. Psychological Medicine, 32(6), 959–976. https://doi.org/10.1017/S0033291702006074",10,worthless?,False,needs_verification,,,
Life Orientation Test–Revised (LOT-R),lot_r,Optimism,"Scheier, M. F., Carver, C. S., & Bridges, M. W. (1994). Distinguishing optimism from neuroticism: A reevaluation of the Life Orientation Test. Journal of Personality and Social Psychology, 67(6), 1063–1078. https://doi.org/10.1037/0022-3514.67.6.1063",1,"In uncertain times, I usually expect the best.",False,needs_verification,,,
Life Orientation Test–Revised (LOT-R),lot_r,Optimism,"Scheier, M. F., Carver, C. S., & Bridges, M. W. (1994). Distinguishing optimism from neuroticism: A reevaluation of the Life Orientation Test. Journal of Personality and Social Psychology, 67(6), 1063–1078. https://doi.org/10.1037/0022-3514.67.6.1063",2,"If something can go wrong for me, it will.",True,needs_verification,,,
Life Orientation Test–Revised (LOT-R),lot_r,Optimism,"Scheier, M. F., Carver, C. S., & Bridges, M. W. (1994). Distinguishing optimism from neuroticism: A reevaluation of the Life Orientation Test. Journal of Personality and Social Psychology, 67(6), 1063–1078. https://doi.org/10.1037/0022-3514.67.6.1063",3,I'm always optimistic about my future.,False,needs_verification,,,
Life Orientation Test–Revised (LOT-R),lot_r,Optimism,"Scheier, M. F., Carver, C. S., & Bridges, M. W. (1994). Distinguishing optimism from neuroticism: A reevaluation of the Life Orientation Test. Journal of Personality and Social Psychology, 67(6), 1063–1078. https://doi.org/10.1037/0022-3514.67.6.1063",4,I hardly ever expect things to go my way.,True,needs_verification,,,
Life Orientation Test–Revised (LOT-R),lot_r,Optimism,"Scheier, M. F., Carver, C. S., & Bridges, M. W. (1994). Distinguishing optimism from neuroticism: A reevaluation of the Life Orientation Test. Journal of Personality and Social Psychology, 67(6), 1063–1078. https://doi.org/10.1037/0022-3514.67.6.1063",5,I rarely count on good things happening to me.,True,needs_verification,,,
Life Orientation Test–Revised (LOT-R),lot_r,Optimism,"Scheier, M. F., Carver, C. S., & Bridges, M. W. (1994). Distinguishing optimism from neuroticism: A reevaluation of the Life Orientation Test. Journal of Personality and Social Psychology, 67(6), 1063–1078. https://doi.org/10.1037/0022-3514.67.6.1063",6,"Overall, I expect more good things to happen to me than bad.",False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",1,I could be experiencing some emotion and not be conscious of it until some time later.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",2,"I break or spill things because of carelessness, not paying attention, or thinking of something else.",False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",3,I find it difficult to stay focused on what’s happening in the present.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",4,I tend to walk quickly to get where I’m going without paying attention to what I experience along the way.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",5,I tend not to notice feelings of physical tension or discomfort until they really grab my attention.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",6,I forget a person’s name almost as soon as I’ve been told it for the first time.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",7,"It seems I am “running on automatic,” without much awareness of what I’m doing.",False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",8,I rush through activities without being really attentive to them.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",9,I get so focused on the goal I want to achieve that I lose touch with what I’m doing right now to get there.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",10,"I do jobs or tasks automatically, without being aware of what I'm doing.",False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",11,"I find myself listening to someone with one ear, doing something else at the same time.",False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",12,I drive places on ‘automatic pilot’ and then wonder why I went there.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",13,I find myself preoccupied with the future or the past.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",14,I find myself doing things without paying attention.,False,needs_verification,,,
Mindful Attention Awareness Scale (MAAS),maas,Mindfulness,"Brown, K. W., & Ryan, R. M. (2003). The benefits of being present: Mindfulness and its role in psychological well-being. Journal of Personality and Social Psychology, 84(4), 822–848. https://doi.org/10.1037/0022-3514.84.4.822",15,I snack without being aware that I’m eating.,False,needs_verification,,,
Authority (MFQ-2),mfq_2_authority,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",1,I think it is important for societies to cherish their traditional values.,False,needs_verification,,,
Authority (MFQ-2),mfq_2_authority,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",2,I feel that most traditions serve a valuable function in keeping society orderly.,False,needs_verification,,,
Authority (MFQ-2),mfq_2_authority,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",3,I think obedience to parents is an important virtue.,False,needs_verification,,,
Authority (MFQ-2),mfq_2_authority,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",4,We all need to learn from our elders.,False,needs_verification,,,
Authority (MFQ-2),mfq_2_authority,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",5,I believe that one of the most important values to teach children is to have respect for authority.,False,needs_verification,,,
Authority (MFQ-2),mfq_2_authority,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",6,I think having a strong leader is good for society.,False,needs_verification,,,
Care (MFQ-2),mfq_2_care,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",1,Caring for people who have suffered is an important virtue.,False,needs_verification,,,
Care (MFQ-2),mfq_2_care,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",2,I believe that compassion for those who are suffering is one of the most crucial virtues.,False,needs_verification,,,
Care (MFQ-2),mfq_2_care,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",3,We should all care for people who are in emotional pain.,False,needs_verification,,,
Care (MFQ-2),mfq_2_care,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",4,I am empathetic toward those people who have suffered in their lives.,False,needs_verification,,,
Care (MFQ-2),mfq_2_care,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",5,Everyone should try to comfort people who are going through something hard.,False,needs_verification,,,
Care (MFQ-2),mfq_2_care,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",6,It pains me when I see someone ignoring the needs of another human being.,False,needs_verification,,,
Equality (MFQ-2),mfq_2_equality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",1,The world would be a better place if everyone made the same amount of money.,False,needs_verification,,,
Equality (MFQ-2),mfq_2_equality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",2,Our society would have fewer problems if people had the same income.,False,needs_verification,,,
Equality (MFQ-2),mfq_2_equality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",3,I believe that everyone should be given the same quantity of resources in life.,False,needs_verification,,,
Equality (MFQ-2),mfq_2_equality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",4,I believe it would be ideal if everyone in society wound up with roughly the same amount of money.,False,needs_verification,,,
Equality (MFQ-2),mfq_2_equality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",5,"When people work together toward a common goal, they should share the rewards equally, even if some worked harder on it.",False,needs_verification,,,
Equality (MFQ-2),mfq_2_equality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",6,I get upset when some people have a lot more money than others in my country.,False,needs_verification,,,
Loyalty (MFQ-2),mfq_2_loyalty,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",1,I think children should be taught to be loyal to their country.,False,needs_verification,,,
Loyalty (MFQ-2),mfq_2_loyalty,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",2,It upsets me when people have no loyalty to their country.,False,needs_verification,,,
Loyalty (MFQ-2),mfq_2_loyalty,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",3,Everyone should love their own community.,False,needs_verification,,,
Loyalty (MFQ-2),mfq_2_loyalty,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",4,"Everyone should defend their country, if called upon.",False,needs_verification,,,
Loyalty (MFQ-2),mfq_2_loyalty,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",5,Everyone should feel proud when a person in their community wins in an international competition.,False,needs_verification,,,
Loyalty (MFQ-2),mfq_2_loyalty,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",6,I believe the strength of a sports team comes from the loyalty of its members to each other.,False,needs_verification,,,
Proportionality (MFQ-2),mfq_2_proportionality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",1,I think people who are more hard-working should end up with more money.,False,needs_verification,,,
Proportionality (MFQ-2),mfq_2_proportionality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",2,I think people should be rewarded in proportion to what they contribute.,False,needs_verification,,,
Proportionality (MFQ-2),mfq_2_proportionality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",3,The effort a worker puts into a job ought to be reflected in the size of a raise they receive.,False,needs_verification,,,
Proportionality (MFQ-2),mfq_2_proportionality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",4,It makes me happy when people are recognized on their merits.,False,needs_verification,,,
Proportionality (MFQ-2),mfq_2_proportionality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",5,"In a fair society, those who work hard should live with higher standards of living.",False,needs_verification,,,
Proportionality (MFQ-2),mfq_2_proportionality,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",6,I feel good when I see cheaters get caught and punished.,False,needs_verification,,,
Purity (MFQ-2),mfq_2_purity,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",1,"I think the human body should be treated like a temple, housing something sacred within.",False,needs_verification,,,
Purity (MFQ-2),mfq_2_purity,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",2,I believe chastity is an important virtue.,False,needs_verification,,,
Purity (MFQ-2),mfq_2_purity,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",3,It upsets me when people use foul language like it is nothing.,False,needs_verification,,,
Purity (MFQ-2),mfq_2_purity,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",4,"If I found out that an acquaintance had an unusual but harmless sexual fetish, I would feel uneasy about them.",False,needs_verification,,,
Purity (MFQ-2),mfq_2_purity,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",5,People should try to use natural medicines rather than chemically identical human-made ones.,False,needs_verification,,,
Purity (MFQ-2),mfq_2_purity,Moral foundations,"Atari, M., Haidt, J., Graham, J., Koleva, S., Stevens, S. T., & Dehghani, M. (2023). Morality beyond the WEIRD: How the nomological network of morality varies across cultures. Journal of Personality and Social Psychology, 125(5), 1157–1188. https://doi.org/10.1037/pspp0000470",6,I admire people who keep their virginity until marriage.,False,needs_verification,,,
Moral Foundations - Care,mfq_care,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",1,Compassion for those who are suffering is the most crucial virtue.,False,needs_verification,,,
Moral Foundations - Care,mfq_care,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",2,One of the worst things a person could do is hurt a defenseless animal.,False,needs_verification,,,
Moral Foundations - Care,mfq_care,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",3,Whether or not someone suffered emotionally.,False,needs_verification,,,
Moral Foundations - Care,mfq_care,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",4,Whether or not someone cared for someone weak or vulnerable.,False,needs_verification,,,
Moral Foundations - Fairness,mfq_fairness,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",1,Justice is the most important requirement for a society.,False,needs_verification,,,
Moral Foundations - Fairness,mfq_fairness,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",2,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",False,needs_verification,,,
Moral Foundations - Fairness,mfq_fairness,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",3,Whether or not some people were treated differently than others.,False,needs_verification,,,
Moral Foundations - Fairness,mfq_fairness,moral-foundations,"Graham, J., Nosek, B. A., Haidt, J., Iyer, R., Koleva, S., & Ditto, P. H. (2011). Mapping the moral domain. JPSP, 101(2).",4,Whether or not someone acted unfairly.,False,needs_verification,,,
Presence (MLQ),mlq_presence,Meaning in life,"Steger, M. F., Frazier, P., Oishi, S., & Kaler, M. (2006). The Meaning in Life Questionnaire: Assessing the presence of and search for meaning in life. Journal of Counseling Psychology, 53(1), 80–93. https://doi.org/10.1037/0022-0167.53.1.80",1,I understand my life's meaning.,False,needs_verification,,,
Presence (MLQ),mlq_presence,Meaning in life,"Steger, M. F., Frazier, P., Oishi, S., & Kaler, M. (2006). The Meaning in Life Questionnaire: Assessing the presence of and search for meaning in life. Journal of Counseling Psychology, 53(1), 80–93. https://doi.org/10.1037/0022-0167.53.1.80",2,My life has a clear sense of purpose.,False,needs_verification,,,
Presence (MLQ),mlq_presence,Meaning in life,"Steger, M. F., Frazier, P., Oishi, S., & Kaler, M. (2006). The Meaning in Life Questionnaire: Assessing the presence of and search for meaning in life. Journal of Counseling Psychology, 53(1), 80–93. https://doi.org/10.1037/0022-0167.53.1.80",3,I have a good sense of what makes my life meaningful.,False,needs_verification,,,
Presence (MLQ),mlq_presence,Meaning in life,"Steger, M. F., Frazier, P., Oishi, S., & Kaler, M. (2006). The Meaning in Life Questionnaire: Assessing the presence of and search for meaning in life. Journal of Counseling Psychology, 53(1), 80–93. https://doi.org/10.1037/0022-0167.53.1.80",4,I have discovered a satisfying life purpose.,False,needs_verification,,,
Presence (MLQ),mlq_presence,Meaning in life,"Steger, M. F., Frazier, P., Oishi, S., & Kaler, M. (2006). The Meaning in Life Questionnaire: Assessing the presence of and search for meaning in life. Journal of Counseling Psychology, 53(1), 80–93. https://doi.org/10.1037/0022-0167.53.1.80",5,My life has no clear purpose.,True,needs_verification,,,
Search (MLQ),mlq_search,Meaning in life,"Steger, M. F., Frazier, P., Oishi, S., & Kaler, M. (2006). The Meaning in Life Questionnaire: Assessing the presence of and search for meaning in life. Journal of Counseling Psychology, 53(1), 80–93. https://doi.org/10.1037/0022-0167.53.1.80",1,I am looking for something that makes my life feel meaningful.,False,needs_verification,,,
Search (MLQ),mlq_search,Meaning in life,"Steger, M. F., Frazier, P., Oishi, S., & Kaler, M. (2006). The Meaning in Life Questionnaire: Assessing the presence of and search for meaning in life. Journal of Counseling Psychology, 53(1), 80–93. https://doi.org/10.1037/0022-0167.53.1.80",2,I am always looking to find my life's purpose.,False,needs_verification,,,
